Characteristic_category,NATden_girls_13,NATden_boys_13,NATden_all_13,KS4_LEVEL2_girls_13,KS4_LEVEL2_boys_13,KS4_LEVEL2_all_13,KS4_LEVEL2_EM_girls_13,KS4_LEVEL2_EM_boys_13,KS4_LEVEL2_EM_all_13,KS4_LEVEL1_girls_13,KS4_LEVEL1_boys_13,KS4_LEVEL1_all_13,KS4_LEVEL1_EM_girls_13,KS4_LEVEL1_EM_boys_13,KS4_LEVEL1_EM_all_13,KS4_L2BASICS_girls_13,KS4_L2BASICS_boys_13,KS4_L2BASICS_all_13,KS4_LEVEL2MFL_girls_13,KS4_LEVEL2MFL_boys_13,KS4_LEVEL2MFL_all_13,KS4_GLEVEL2EM_girls_13,KS4_GLEVEL2EM_boys_13,KS4_GLEVEL2EM_all_13,KS4_EBACC_E_girls_13,KS4_EBACC_E_boys_13,KS4_EBACC_E_all_13,KS4_EBACC_girls_13,KS4_EBACC_boys_13,KS4_EBACC_all_13,NATden_PROGENG_girls_13,NATden_PROGENG_boys_13,NATden_PROGENG_all_13,KS4_PROGENG_girls_13,KS4_PROGENG_boys_13,KS4_PROGENG_all_13,NATden_PROGMAT_girls_13,NATden_PROGMAT_boys_13,NATden_PROGMAT_all_13,KS4_PROGMAT_girls_13,KS4_PROGMAT_boys_13,KS4_PROGMAT_all_13,NATden_girls_FSM_13,NATden_boys_FSM_13,NATden_all_FSM_13,KS4_LEVEL2_girls_FSM_13,KS4_LEVEL2_boys_FSM_13,KS4_LEVEL2_all_FSM_13,KS4_LEVEL2_EM_girls_FSM_13,KS4_LEVEL2_EM_boys_FSM_13,KS4_LEVEL2_EM_all_FSM_13,KS4_LEVEL1_girls_FSM_13,KS4_LEVEL1_boys_FSM_13,KS4_LEVEL1_all_FSM_13,KS4_LEVEL1_EM_girls_FSM_13,KS4_LEVEL1_EM_boys_FSM_13,KS4_LEVEL1_EM_all_FSM_13,KS4_L2BASICS_girls_FSM_13,KS4_L2BASICS_boys_FSM_13,KS4_L2BASICS_all_FSM_13,KS4_EBACC_E_girls_FSM_13,KS4_EBACC_E_boys_FSM_13,KS4_EBACC_E_all_FSM_13,KS4_EBACC_girls_FSM_13,KS4_EBACC_boys_FSM_13,KS4_EBACC_all_FSM_13,NATden_PROGENG_girls_FSM_13,NATden_PROGENG_boys_FSM_13,NATden_PROGENG_all_FSM_13,KS4_PROGENG_girls_FSM_13,KS4_PROGENG_boys_FSM_13,KS4_PROGENG_all_FSM_13,NATden_PROGMAT_girls_FSM_13,NATden_PROGMAT_boys_FSM_13,NATden_PROGMAT_all_FSM_13,KS4_PROGMAT_girls_FSM_13,KS4_PROGMAT_boys_FSM_13,KS4_PROGMAT_all_FSM_13,NATden_girls_allother_13,NATden_boys_allother_13,NATden_all_allother_13,KS4_LEVEL2_girls_allother_13,KS4_LEVEL2_boys_allother_13,KS4_LEVEL2_all_allother_13,KS4_LEVEL2_EM_girls_allother_13,KS4_LEVEL2_EM_boys_allother_13,KS4_LEVEL2_EM_all_allother_13,KS4_LEVEL1_girls_allother_13,KS4_LEVEL1_boys_allother_13,KS4_LEVEL1_all_allother_13,KS4_LEVEL1_EM_girls_allother_13,KS4_LEVEL1_EM_boys_allother_13,KS4_LEVEL1_EM_all_allother_13,KS4_L2BASICS_girls_allother_13,KS4_L2BASICS_boys_allother_13,KS4_L2BASICS_all_allother_13,KS4_EBACC_E_girls_allother_13,KS4_EBACC_E_boys_allother_13,KS4_EBACC_E_all_allother_13,KS4_EBACC_girls_allother_13,KS4_EBACC_boys_allother_13,KS4_EBACC_all_allother_13,NATden_PROGENG_girls_allother_13,NATden_PROGENG_boys_allother_13,NATden_PROGENG_all_allother_13,KS4_PROGENG_girls_allother_13,KS4_PROGENG_boys_allother_13,KS4_PROGENG_all_allother_13,NATden_PROGMAT_girls_allother_13,NATden_PROGMAT_boys_allother_13,NATden_PROGMAT_all_allother_13,KS4_PROGMAT_girls_allother_13,KS4_PROGMAT_boys_allother_13,KS4_PROGMAT_all_allother_13
Specific Learning Difficulty,2199,4758,6957,1384,2715,4099,440,859,1299,2019,4289,6308,1841,4014,5855,446,881,1327,181,263,444,354,653,1007,177,278,455,66,88,154,2087,4519,6606,1211,2248,3459,2104,4601,6705,827,1972,2799,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Moderate Learning Difficulty,4368,7271,11639,1804,2738,4542,234,354,588,3043,4847,7890,2440,4120,6560,242,366,608,162,212,374,153,211,364,103,130,233,32,25,57,4152,6881,11033,1380,1913,3293,4198,6961,11159,693,1372,2065,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Severe Learning Difficulty,832,1469,2301,34,74,108,3,13,16,77,146,223,39,99,138,3,13,16,3,7,10,3,10,13,4,4,8,x,x,x,819,1450,2269,31,61,92,822,1457,2279,12,37,49,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Profound & Multiple Learning Difficulty,222,303,525,3,15,18,x,x,x,7,21,28,3,15,18,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,221,301,522,4,9,13,221,302,523,x,x,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Behaviour, Emotional & Social Difficulties",5686,11094,16780,2912,4403,7315,1434,1653,3087,4387,7794,12181,4058,7087,11145,1504,1758,3262,693,575,1268,1106,1079,2185,658,620,1278,313,190,503,5560,10710,16270,2229,2966,5195,5550,10742,16292,1886,3068,4954,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Speech, Language and Communications Needs",1186,2719,3905,562,1386,1948,143,397,540,969,2229,3198,814,1999,2813,144,407,551,120,203,323,113,299,412,64,166,230,29,65,94,1106,2563,3669,480,1052,1532,1101,2586,3687,314,1000,1314,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hearing Impairment,753,634,1387,570,449,1019,348,244,592,693,581,1274,654,544,1198,349,249,598,189,99,288,300,197,497,161,112,273,107,53,160,733,613,1346,479,336,815,726,610,1336,470,374,844,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Visual Impairment,320,395,715,241,275,516,162,160,322,296,354,650,283,339,622,164,162,326,93,73,166,144,134,278,76,83,159,50,41,91,307,383,690,215,219,434,310,386,696,195,243,438,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Multi-Sensory Impairment,26,30,56,16,17,33,x,x,x,18,19,37,16,19,35,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,25,27,52,11,6,17,26,28,54,x,x,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Physical Disability,883,1162,2045,535,684,1219,320,358,678,710,937,1647,659,874,1533,326,364,690,179,166,345,283,292,575,164,166,330,98,88,186,859,1118,1977,475,541,1016,860,1121,1981,425,540,965,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
